year,month,sig_wave_ht
2014,1,1.87
2014,2,1.80
2014,3,1.58
2014,4,1.04
2014,5,1.21
2014,6,0.70
2014,7,0.83
2014,8,1.16
2014,9,0.80
2014,10,1.53
2014,11,1.41
2014,12,2.51
2015,1,2.08
2015,2,1.95
2015,3,1.55
2015,4,1.22
2015,5,0.84
2015,6,0.90
2015,7,1.06
2015,8,1.03
2015,9,1.22
2015,10,1.42
2015,11,1.94
2015,12,1.61
2016,1,1.91
2016,2,1.59
2016,3,1.03
2016,4,1.16
2016,5,1.00
2016,6,0.75
2016,7,0.80
2016,8,1.02
2016,9,1.18
2016,10,1.38
2016,11,1.81
2016,12,2.08
2017,1,2.22
2017,2,1.93
2017,3,1.21
2017,4,1.34
2017,5,1.01
2017,6,1.00
2017,7,0.89
2017,8,1.05
2017,9,1.05
2017,10,1.57
2017,11,1.93
2017,12,2.25
2018,1,2.20
2018,2,2.10
2018,3,1.93
2018,4,1.35
2018,5,1.18
2018,6,1.00
2018,7,0.88
2018,8,1.07
2018,9,1.08
2018,10,1.38
2018,11,1.09
2018,12,1.69
2019,1,2.01
2019,2,1.42
2019,3,1.38
2019,4,1.10
2019,5,0.88
2019,6,0.97
2019,7,0.98
2019,8,0.96
2019,9,1.07
2019,10,1.52
2019,11,1.60
2019,12,1.62
2020,1,1.86
2020,2,1.83
2020,3,1.53
2020,4,1.44
2020,5,1.02
2020,6,0.77
2020,7,1.09
2020,8,1.10
2020,9,1.83
2020,10,1.25
2020,11,1.58
2020,12,1.79
2021,1,2.13
2021,2,1.91
2021,3,1.62
2021,4,1.31
2021,5,1.30
2021,6,0.80
2021,7,0.66
2021,8,1.34
2021,9,1.26
2021,10,1.35
2021,11,1.74
2021,12,2.23
2022,1,2.22
2022,2,2.07
2022,3,1.43
2022,4,1.14
2022,5,0.84
2022,6,1.33
2022,7,0.81
2022,8,0.89
2022,9,1.15
2022,10,1.48
2022,11,1.38
2022,12,2.23
