PRES,TEMP,PSAL
1.0,3.735,34.254
2.0,3.738,34.26
3.0,3.739,34.261
4.0,3.741,34.267
5.0,3.736,34.259
6.0,3.737,34.26
7.0,3.736,34.257
8.0,3.742,34.271
9.0,3.736,34.258
10.0,3.738,34.256
11.0,3.783,34.358
12.0,3.833,34.523
13.0,3.838,34.563
14.0,3.837,34.568
15.0,3.83,34.649
16.0,3.806,34.758
17.0,3.792,34.778
18.0,3.79,34.787
19.0,3.814,34.812
20.0,3.846,34.82
21.0,3.858,34.86
22.0,3.833,34.865
23.0,3.815,34.866
24.0,3.817,34.87
25.0,3.814,34.877
26.0,3.812,34.879
27.0,3.792,34.879
28.0,3.709,34.875
29.0,3.704,34.877
30.0,3.642,34.876
31.0,3.582,34.873
32.0,3.546,34.875
33.0,3.512,34.884
34.0,3.484,34.89
35.0,3.368,34.888
36.0,3.297,34.885
37.0,3.165,34.884
38.0,3.106,34.883
39.0,3.094,34.885
40.0,3.094,34.89
41.0,3.102,34.899
42.0,3.079,34.902
43.0,3.094,34.907
44.0,3.076,34.91
45.0,3.035,34.914
46.0,3.009,34.916
47.0,2.992,34.917
48.0,2.981,34.919
49.0,2.954,34.92
50.0,2.933,34.922
51.0,2.903,34.923
52.0,2.874,34.925
53.0,2.85,34.926
54.0,2.824,34.926
55.0,2.801,34.927
56.0,2.787,34.928
57.0,2.764,34.929
58.0,2.713,34.93
59.0,2.711,34.931
60.0,2.705,34.931
61.0,2.701,34.932
62.0,2.696,34.933
63.0,2.682,34.932
64.0,2.665,34.932
65.0,2.651,34.932
66.0,2.647,34.931
67.0,2.642,34.931
68.0,2.635,34.93
69.0,2.624,34.93
70.0,2.588,34.93
71.0,2.604,34.933
72.0,2.608,34.934
73.0,2.593,34.934
74.0,2.507,34.927
75.0,2.472,34.924
76.0,2.468,34.925
77.0,2.46,34.925
78.0,2.453,34.925
79.0,2.441,34.927
80.0,2.43,34.93
81.0,2.431,34.932
82.0,2.43,34.932
83.0,2.431,34.933
84.0,2.433,34.933
85.0,2.43,34.934
86.0,2.417,34.934
87.0,2.394,34.933
88.0,2.382,34.934
89.0,2.361,34.934
90.0,2.335,34.934
91.0,2.32,34.933
92.0,2.303,34.932
93.0,2.275,34.93
94.0,2.267,34.93
95.0,2.263,34.93
96.0,2.277,34.934
97.0,2.27,34.934
98.0,2.265,34.934
99.0,2.262,34.934
100.0,2.256,34.934
101.0,2.241,34.934
102.0,2.216,34.932
103.0,2.201,34.931
104.0,2.191,34.93
105.0,2.176,34.929
106.0,2.135,34.926
107.0,2.11,34.924
108.0,2.091,34.922
109.0,2.071,34.921
110.0,2.064,34.92
111.0,2.103,34.926
112.0,2.106,34.927
113.0,2.099,34.926
114.0,2.095,34.926
115.0,2.092,34.926
116.0,2.088,34.926
117.0,2.082,34.926
118.0,2.085,34.927
119.0,2.093,34.929
120.0,2.09,34.929
121.0,2.089,34.929
122.0,2.085,34.929
123.0,2.054,34.927
124.0,2.022,34.924
125.0,2.019,34.924
126.0,2.021,34.924
127.0,2.026,34.925
128.0,2.027,34.925
129.0,2.036,34.926
130.0,2.041,34.925
131.0,2.06,34.93
132.0,2.082,34.933
133.0,2.084,34.934
134.0,2.087,34.934
135.0,2.093,34.935
136.0,2.097,34.936
137.0,2.099,34.936
138.0,2.098,34.937
139.0,2.1,34.937
140.0,2.101,34.938
141.0,2.099,34.938
142.0,2.095,34.938
143.0,2.094,34.938
144.0,2.094,34.938
145.0,2.102,34.939
146.0,2.101,34.939
147.0,2.095,34.939
148.0,2.082,34.938
149.0,2.078,34.938
150.0,2.076,34.938
151.0,2.076,34.938
152.0,2.072,34.938
153.0,2.066,34.938
154.0,2.064,34.938
155.0,2.063,34.938
156.0,2.065,34.939
157.0,2.065,34.939
158.0,2.063,34.939
159.0,2.058,34.939
160.0,2.041,34.938
161.0,2.032,34.938
162.0,2.028,34.938
163.0,2.027,34.938
164.0,2.026,34.938
165.0,2.022,34.938
166.0,2.013,34.938
167.0,2.01,34.938
168.0,2.009,34.938
169.0,2.007,34.938
170.0,2.002,34.938
171.0,1.998,34.938
172.0,1.994,34.938
173.0,1.99,34.938
174.0,1.986,34.938
175.0,1.979,34.937
176.0,1.974,34.937
177.0,1.971,34.937
178.0,1.968,34.937
179.0,1.966,34.937
180.0,1.962,34.936
181.0,1.957,34.936
182.0,1.945,34.936
183.0,1.933,34.935
184.0,1.924,34.934
185.0,1.919,34.934
186.0,1.916,34.934
187.0,1.907,34.934
188.0,1.9,34.933
189.0,1.893,34.933
190.0,1.887,34.933
191.0,1.883,34.933
192.0,1.881,34.933
193.0,1.879,34.933
194.0,1.876,34.933
195.0,1.873,34.933
196.0,1.868,34.933
197.0,1.866,34.933
198.0,1.863,34.933
199.0,1.858,34.933
200.0,1.853,34.933
201.0,1.851,34.933
202.0,1.848,34.933
203.0,1.847,34.933
204.0,1.847,34.933
205.0,1.846,34.933
206.0,1.845,34.934
207.0,1.845,34.934
208.0,1.844,34.933
209.0,1.844,34.933
210.0,1.843,34.934
211.0,1.843,34.934
212.0,1.842,34.934
213.0,1.842,34.934
214.0,1.84,34.934
215.0,1.837,34.934
216.0,1.834,34.934
217.0,1.832,34.934
218.0,1.83,34.934
219.0,1.823,34.934
220.0,1.82,34.933
221.0,1.818,34.933
222.0,1.815,34.933
223.0,1.808,34.933
224.0,1.804,34.933
225.0,1.798,34.933
226.0,1.794,34.933
227.0,1.792,34.933
228.0,1.79,34.933
229.0,1.789,34.933
230.0,1.788,34.933
231.0,1.787,34.933
232.0,1.783,34.933
233.0,1.779,34.933
234.0,1.776,34.933
235.0,1.772,34.932
236.0,1.77,34.932
237.0,1.767,34.932
238.0,1.763,34.932
239.0,1.761,34.932
240.0,1.757,34.932
241.0,1.751,34.931
242.0,1.744,34.931
243.0,1.74,34.931
244.0,1.739,34.931
245.0,1.736,34.931
246.0,1.731,34.93
247.0,1.727,34.93
248.0,1.723,34.93
249.0,1.72,34.93
250.0,1.715,34.93
251.0,1.702,34.929
252.0,1.693,34.928
253.0,1.694,34.929
254.0,1.693,34.928
255.0,1.691,34.928
256.0,1.685,34.928
257.0,1.673,34.928
258.0,1.667,34.928
259.0,1.663,34.928
260.0,1.662,34.928
261.0,1.662,34.928
262.0,1.661,34.928
263.0,1.657,34.927
264.0,1.648,34.928
265.0,1.644,34.927
266.0,1.642,34.927
267.0,1.628,34.927
268.0,1.622,34.927
269.0,1.619,34.927
270.0,1.613,34.927
271.0,1.61,34.926
272.0,1.597,34.926
273.0,1.59,34.925
274.0,1.587,34.925
275.0,1.585,34.925
276.0,1.581,34.925
277.0,1.576,34.925
278.0,1.567,34.925
279.0,1.564,34.925
280.0,1.558,34.924
281.0,1.54,34.924
282.0,1.531,34.924
283.0,1.525,34.923
284.0,1.523,34.923
285.0,1.516,34.923
286.0,1.512,34.923
287.0,1.507,34.923
288.0,1.504,34.923
289.0,1.503,34.923
290.0,1.496,34.923
291.0,1.469,34.922
292.0,1.442,34.921
293.0,1.431,34.92
294.0,1.408,34.92
295.0,1.385,34.919
296.0,1.361,34.918
297.0,1.332,34.917
298.0,1.319,34.917
299.0,1.303,34.916
300.0,1.297,34.916
301.0,1.295,34.916
302.0,1.29,34.916
303.0,1.286,34.916
304.0,1.287,34.916
305.0,1.286,34.916
306.0,1.286,34.916
307.0,1.286,34.916
308.0,1.287,34.916
309.0,1.287,34.916
310.0,1.286,34.916
311.0,1.287,34.916
312.0,1.287,34.916
313.0,1.288,34.916
314.0,1.288,34.916
315.0,1.287,34.916
316.0,1.287,34.916
317.0,1.287,34.916
318.0,1.287,34.916
319.0,1.287,34.916
320.0,1.287,34.916
