Station,Longitude,Latitude,사용자료
백령도,124.533056,37.985556
연평도,125.736944,37.556667
제주해협,126.590556,33.7
제주남부,126.972222,32.087222
남해동부,128.421111,34.228889
대한해협,129.123056,34.923333
울릉도북동,131.554722,38.007778
울릉도북서,130.576111,37.746667
경기만북서,125.164444,37.440278
상왕등도,126.195000,35.652778
우이도, 125.80111, 34.54250
동해중부,130.273889,38.292778
해운대해수욕장,129.171111,35.149722
대천해수욕장,126.457778,36.273889
중문해수욕장,126.409444,33.234444
경포대해수욕장,128.931944,37.808611
송정해수욕장,129.219167,35.164722
낙산해수욕장,128.650556,38.122222
임랑해수욕장,129.2925,35.302778
속초해수욕장,128.631667,38.198611
망상해수욕장,129.103056,37.616111
고래불해수욕장,129.453889,36.58
생일도,126.960833,34.258889
군산항,126.50875,35.984167
평택당진항,126.540833,37.136667
광양항,127.792778,34.859722
인천항,126.533056,37.389444
경인항,126.592083,37.523389
완도항,126.763194,34.325083
태안항,126.270194,37.006694
여수항,127.808361,34.794639
마산항,128.631389,35.103722
부산항신항,128.76175,35.043778
통영항,128.459694,34.773278
부산항,129.08525,35.09175
감천항,129.003083,35.052806
