year,month,sun_insolation,sun_hr
2021,1,0.89,0.63
2021,2,1.10,0.65
2021,3,1.10,0.49
2021,4,1.37,0.59
2021,5,1.24,0.47
2021,6,1.28,0.47
2021,7,1.26,0.50
2021,8,0.90,0.33
2021,9,0.93,0.36
2021,10,0.97,0.53
2021,11,0.94,0.67
2021,12,0.87,0.67
2022,1,0.98,0.70
2022,2,1.22,0.74
2022,3,1.11,0.54
2022,4,1.40,0.62
2022,5,1.62,0.68
2022,6,1.34,0.52
2022,7,1.10,0.39
2022,8,0.97,0.36
2022,9,0.98,0.37
2022,10,1.03,0.52
2022,11,0.92,0.61
2022,12,0.90,0.67
2023,1,0.97,0.67
2023,2,1.01,0.52
2023,3,1.27,0.58
2023,4,1.36,0.55
2023,5,1.29,0.49
2023,6,1.43,0.51
2023,7,1.14,0.36
2023,8,1.13,0.40
2023,9,1.04,0.38
2023,10,1.20,0.64
2023,11,0.98,0.62
2023,12,0.80,0.58
